number,name,type,description
1,Account,STRING,
2,AdvId,STRING,
3,AdvRefID,STRING,
4,AdvSide,CHAR,
5,AdvTransType,STRING,
6,AvgPx,PRICE,
7,BeginSeqNo,SEQNUM,
8,BeginString,STRING,
9,BodyLength,LENGTH,
10,CheckSum,STRING,
11,ClOrdID,STRING,
12,Commission,AMT,
13,CommType,CHAR,
14,CumQty,QTY,
15,Currency,CURRENCY,
16,EndSeqNo,SEQNUM,
17,ExecID,STRING,
18,ExecInst,MULTIPLECHARVALUE,
19,ExecRefID,STRING,
21,HandlInst,CHAR,
22,SecurityIDSource,STRING,
23,IOIID,STRING,
25,IOIQltyInd,CHAR,
26,IOIRefID,STRING,
27,IOIQty,STRING,
28,IOITransType,CHAR,
29,LastCapacity,CHAR,
30,LastMkt,EXCHANGE,
31,LastPx,PRICE,
32,LastQty,QTY,
33,NoLinesOfText,NUMINGROUP,
34,MsgSeqNum,SEQNUM,
35,MsgType,STRING,
36,NewSeqNo,SEQNUM,
37,OrderID,STRING,
38,OrderQty,QTY,
39,OrdStatus,CHAR,
40,OrdType,CHAR,
41,OrigClOrdID,STRING,
42,OrigTime,UTCTIMESTAMP,
43,PossDupFlag,BOOLEAN,
44,Price,PRICE,
45,RefSeqNum,SEQNUM,
48,SecurityID,STRING,
49,SenderCompID,STRING,
50,SenderSubID,STRING,
52,SendingTime,UTCTIMESTAMP,
53,Quantity,QTY,
54,Side,CHAR,
55,Symbol,STRING,
56,TargetCompID,STRING,
57,TargetSubID,STRING,
58,Text,STRING,
59,TimeInForce,CHAR,
60,TransactTime,UTCTIMESTAMP,
61,Urgency,CHAR,
62,ValidUntilTime,UTCTIMESTAMP,
63,SettlType,STRING,
64,SettlDate,LOCALMKTDATE,
65,SymbolSfx,STRING,
66,ListID,STRING,
67,ListSeqNo,INT,
68,TotNoOrders,INT,
69,ListExecInst,STRING,
70,AllocID,STRING,
71,AllocTransType,CHAR,
72,RefAllocID,STRING,
73,NoOrders,NUMINGROUP,
74,AvgPxPrecision,INT,
75,TradeDate,LOCALMKTDATE,
77,PositionEffect,CHAR,
78,NoAllocs,NUMINGROUP,
79,AllocAccount,STRING,
80,AllocQty,QTY,
81,ProcessCode,CHAR,
82,NoRpts,INT,
83,RptSeq,INT,
84,CxlQty,QTY,
85,NoDlvyInst,NUMINGROUP,
87,AllocStatus,INT,
88,AllocRejCode,INT,
89,Signature,DATA,
90,SecureDataLen,LENGTH,
91,SecureData,DATA,
93,SignatureLength,LENGTH,
94,EmailType,CHAR,
95,RawDataLength,LENGTH,
96,RawData,DATA,
97,PossResend,BOOLEAN,
98,EncryptMethod,INT,
99,StopPx,PRICE,
100,ExDestination,EXCHANGE,
102,CxlRejReason,INT,
103,OrdRejReason,INT,
104,IOIQualifier,CHAR,
106,Issuer,STRING,
107,SecurityDesc,STRING,
108,HeartBtInt,INT,
110,MinQty,QTY,
111,MaxFloor,QTY,
112,TestReqID,STRING,
113,ReportToExch,BOOLEAN,
114,LocateReqd,BOOLEAN,
115,OnBehalfOfCompID,STRING,
116,OnBehalfOfSubID,STRING,
117,QuoteID,STRING,
118,NetMoney,AMT,
119,SettlCurrAmt,AMT,
120,SettlCurrency,CURRENCY,
121,ForexReq,BOOLEAN,
122,OrigSendingTime,UTCTIMESTAMP,
123,GapFillFlag,BOOLEAN,
124,NoExecs,NUMINGROUP,
126,ExpireTime,UTCTIMESTAMP,
127,DKReason,CHAR,
128,DeliverToCompID,STRING,
129,DeliverToSubID,STRING,
130,IOINaturalFlag,BOOLEAN,
131,QuoteReqID,STRING,
132,BidPx,PRICE,
133,OfferPx,PRICE,
134,BidSize,QTY,
135,OfferSize,QTY,
136,NoMiscFees,NUMINGROUP,
137,MiscFeeAmt,AMT,
138,MiscFeeCurr,CURRENCY,
139,MiscFeeType,STRING,
140,PrevClosePx,PRICE,
141,ResetSeqNumFlag,BOOLEAN,
142,SenderLocationID,STRING,
143,TargetLocationID,STRING,
144,OnBehalfOfLocationID,STRING,
145,DeliverToLocationID,STRING,
146,NoRelatedSym,NUMINGROUP,
